topo, k, flow_count, threshold, cm_avg, cm_hit, cm_time, sv_avg, sv_hit, sv_time, cs_avg, cs_hit, cs_time, cm_min, cm_max, sv_min, sv_max, cs_min, cs_max
fattree8,2500,200000,0.99 ,0.0421862890573578,1721,392.0406,0.34477252430571,1798,1670130.741,0.119434724600535,1980,1509.0458,0 , 1 ,0 , 1 ,0 , 1.51409317183849 ,
fattree8,2500,200000,0.98 ,0.0458497720470991,3441,392.0406,0.34620477796459,3608,1670130.741,0.130566774628549,3949,1509.0458,0 , 1 ,0 , 1 ,0 , 1.51409317183849 ,
fattree8,2500,200000,0.95 ,0.0538107944654402,8617,392.0406,0.346917256702534,8983,1670130.741,0.175984747790273,9859,1509.0458,0 , 1 ,0 , 1 ,0 , 2.14867337602928 ,
fattree8,400,300000,0.99 ,0.648960502878239,2999,348.9279,0.907704047076645,2973,544294.495,1.02080005174207,3000,1075.8596,0 , 1 ,0 , 1 ,0.000366865606160317 , 5.92982536008321 ,
fattree8,400,300000,0.98 ,0.671251885032681,5999,348.9279,0.903797256215666,5939,544294.495,1.04747027028921,6000,1075.8596,0 , 1 ,0 , 1 ,0.000366865606160317 , 10.1037836677932 ,
fattree8,400,300000,0.95 ,0.698127701784235,14998,348.9279,0.902934690993019,14850,544294.495,1.1257145279127,15000,1075.8596,0 , 1 ,0 , 1 ,1.20753258828573E-05 , 12.0096964858287 ,
fattree8,3000,200000,0.99 ,0.0272124917883507,1661,384.0211,0.267623615064541,1756,1715615.5414,0.0961598348086811,1956,1618.3028,0 , 1 ,0 , 1 ,0 , 1.03819158746901 ,
fattree8,3000,200000,0.98 ,0.0296985541615841,3306,384.0211,0.270686586724753,3523,1715615.5414,0.10829307145752,3914,1618.3028,0 , 1 ,0 , 1 ,0 , 1.44970479277611 ,
fattree8,3000,200000,0.95 ,0.0348115442820655,8258,384.0211,0.270404983211519,8756,1715615.5414,0.141442373610234,9785,1618.3028,0 , 1 ,0 , 1 ,0 , 2.64805367638904 ,
fattree8,700,300000,0.99 ,0.470618167689749,2985,351.9348,0.83493947134027,2956,979144.8295,0.795858266719032,3000,1291.4335,0 , 1 ,0 , 1 ,3.70654538850155E-05 , 4.77430678584605 ,
fattree8,700,300000,0.98 ,0.49422148047667,5969,351.9348,0.830403238360861,5899,979144.8295,0.849895505417429,6000,1291.4335,0 , 1 ,0 , 1 ,3.70654538850155E-05 , 7.05260825700777 ,
fattree8,700,300000,0.95 ,0.535372115578387,14939,351.9348,0.831254539351873,14749,979144.8295,0.977573843723793,14999,1291.4335,0 , 1 ,0 , 1 ,0 , 8.92440820052124 ,
fattree8,1000,300000,0.99 ,0.344322426610704,2963,382.9836,0.766690233515719,2929,1424018.6379,0.585710669878704,2999,1540.0606,0 , 1 ,0 , 1 ,0 , 4.08259678895772 ,
fattree8,1000,300000,0.98 ,0.360192921909797,5921,382.9836,0.765573053952549,5852,1424018.6379,0.648932005659302,5998,1540.0606,0 , 1 ,0 , 1 ,0 , 4.84528969118796 ,
fattree8,1000,300000,0.95 ,0.403619613598157,14815,382.9836,0.764527731569904,14628,1424018.6379,0.8259907677403,14995,1540.0606,0 , 1 ,0 , 1 ,0 , 10.9517866410136 ,
fattree8,1500,300000,0.99 ,0.201487991710734,2880,419.1145,0.675575137137303,2881,2041306.4974,0.370813340875181,2997,1918.0867,0 , 1 ,0 , 1 ,0 , 2.83848924251976 ,
