sketch,topo,flow,k,threshold,avg,min,max,hit,hitrate,sv_avg,sv_min,sv_max,sv_hit,sv_hitrate
CountMax ,fattree6 ,30000,50000,0.9,1,1,1,2999,0.999666667,1,1,1,2999,0.999666667
CountMax ,fattree6 ,30000,50000,0.99,1,1,1,300,1,1,1,1,300,1
CountMax ,fattree6 ,40000,10,0.3,0.006808921,0,0.999265606,330,0.011785714,0.008933241,0,0.999133824,368,0.013142857
CountMax ,fattree6 ,40000,10,0.5,0.009483374,0,0.999265606,328,0.0164,0.012497467,0,0.999133824,366,0.0183
CountMax ,fattree6 ,40000,10,0.7,0.014834244,0,0.999265606,307,0.025583333,0.019822555,0,0.999133824,340,0.028333333
CountMax ,fattree6 ,40000,10,0.8,0.019613214,0,0.998088539,271,0.033875,0.025730668,0,0.999133824,276,0.0345
CountMax ,fattree6 ,40000,10,0.9,0.025586778,0,0.998088539,179,0.04475,0.032734288,0,0.996406155,151,0.03775
CountMax ,fattree6 ,40000,10,0.99,0.03463358,0,0.984571297,24,0.06,0.041251162,0,0.984388791,18,0.045
CountMax ,fattree6 ,40000,50,0.3,0.03433196,0,0.999698704,1653,0.059035714,0.041411105,0,0.999884143,1693,0.060464286
CountMax ,fattree6 ,40000,50,0.5,0.047676377,0,0.999698704,1638,0.0819,0.057819119,0,0.999884143,1683,0.08415
CountMax ,fattree6 ,40000,50,0.7,0.075688275,0,0.999698704,1553,0.129416667,0.091610379,0,0.999884143,1568,0.130666667
CountMax ,fattree6 ,40000,50,0.8,0.10022153,0,0.999672303,1364,0.1705,0.118101562,0,0.999884143,1252,0.1565
CountMax ,fattree6 ,40000,50,0.9,0.140387474,0,0.999672303,940,0.235,0.136032211,0,0.999884143,620,0.155
CountMax ,fattree6 ,40000,50,0.99,0.207254134,0,0.996008495,138,0.345,0.141080643,0,0.997072049,61,0.1525
CountMax ,fattree6 ,40000,100,0.3,0.069822441,0,1,3267,0.116678571,0.077600711,0,0.99996632,3127,0.111678571
CountMax ,fattree6 ,40000,100,0.5,0.096634296,0,1,3226,0.1613,0.108232712,0,0.99996632,3110,0.1555
CountMax ,fattree6 ,40000,100,0.7,0.150500844,0,1,3002,0.250166667,0.171227768,0,0.99996632,2857,0.238083333
CountMax ,fattree6 ,40000,100,0.8,0.197429569,0,1,2618,0.32725,0.218550857,0,0.99996632,2252,0.2815
CountMax ,fattree6 ,40000,100,0.9,0.267270019,0,0.999379524,1732,0.433,0.25263709,0,0.99996632,1150,0.2875
CountMax ,fattree6 ,40000,100,0.99,0.385996578,0,0.997423145,235,0.5875,0.271252774,0,0.999656757,116,0.29
CountMax ,fattree6 ,40000,200,0.3,0.145376144,0,1,6278,0.224214286,0.143006429,0,1,5659,0.202107143
CountMax ,fattree6 ,40000,200,0.5,0.198601792,0,1,6111,0.30555,0.199121438,0,0.999849034,5611,0.28055
CountMax ,fattree6 ,40000,200,0.7,0.298576926,0,1,5467,0.455583333,0.309629256,0,0.999849034,5034,0.4195
